timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
841828117,23617696,31.0276903,121.4409744,-3.39935,-5.24293,-5.78557,0.000512231,0.000809682,0.0,0.0448669,0.0494613,-0.0152521,-0.0333968,-0.00535803,-0.00263178,0.038596,-0.970632,-2.56461,-1.75238,-1.24361,2.14036,7.00603,0.0152521,0.112261,0.189881,0.0851978,0.0829574,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
841932098,23617696,31.0276903,121.4409744,-3.41217,-5.22593,-5.73141,0.000512231,0.000809682,0.0,0.0456178,0.0350893,0.0147623,0.051202,-0.00535803,-0.00263178,0.038596,1.58465,1.0281,0.701845,-1.24285,2.14036,6.95186,-0.0147623,0.118653,0.192142,0.0892613,0.0847895,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842032092,23617696,31.0276903,121.4409744,-3.42524,-5.21028,-5.66039,0.000512231,0.000809682,0.0,0.0422375,0.0408118,-0.0119995,0.0901199,-0.00535803,-0.00263178,0.038596,2.10586,3.28568,-0.970246,-1.24217,2.14036,6.88085,0.0119995,0.112353,0.189883,0.0853366,0.0829938,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842132157,23617696,31.0276903,121.4409744,-3.43863,-5.19527,-5.59544,0.000512231,0.000809682,0.0,0.01938,0.0259724,-0.0701013,0.0849336,-0.00535803,-0.00263178,0.038596,1.31973,1.96391,-8.66175,-1.24167,2.14036,6.8159,0.0701013,0.118754,0.191282,0.0893389,0.0846591,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842237023,23617696,31.0276903,121.4409744,-3.45342,-5.17961,-5.6011,0.000512231,0.000809682,0.0,0.0168127,0.00945853,-0.127959,0.0122466,-0.00535803,-0.00263178,0.038596,6.66336,0.00123515,-2.71023,-1.24107,2.14036,6.82155,0.127959,0.113029,0.190324,0.0859354,0.0832552,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842336970,23617696,31.0276903,121.4409744,-3.46472,-5.1682,-5.66156,0.000512231,0.000809682,0.0,-0.0104333,0.00313399,-0.193468,-0.112691,-0.00535803,-0.00263178,0.038596,-2.73332,-2.36722,-0.291028,-1.24181,2.14036,6.88202,0.193468,0.118994,0.191299,0.0899084,0.0847315,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842436908,23617696,31.0276903,121.4409744,-3.47867,-5.15508,-5.72632,0.000512231,0.000809682,0.0,-0.00109659,0.0127075,-0.197649,-0.170645,-0.00535803,-0.00263178,0.038596,3.43214,3.04196,-0.199864,-1.24335,2.14036,6.94678,0.197649,0.113099,0.190367,0.0863496,0.0832927,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842537771,23617696,31.0276903,121.4409744,-3.49132,-5.14386,-5.7663,0.000512231,0.000809682,0.0,-0.00264904,0.00376933,-0.107569,-0.106723,-0.00535803,-0.00263178,0.038596,1.79265,3.63446,1.45223,-1.24709,2.14036,6.98676,0.107569,0.119086,0.191345,0.0900963,0.0847665,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842641698,23617696,31.0276903,121.4409744,-3.50372,-5.13162,-5.77402,0.000512231,0.000809682,0.0,0.0078427,-0.00407309,-0.00280915,-0.00341117,-0.00535803,-0.00263178,0.038596,1.8214,1.05338,-2.5736,-1.25005,2.14036,6.99448,0.00280915,0.11313,0.190371,0.086219,0.0833166,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842741652,23617696,31.0276903,121.4409744,-3.514,-5.12118,-5.76484,0.000512231,0.000809682,0.0,-0.0040267,-0.0223425,0.0095696,0.0170855,-0.00535803,-0.00263178,0.038596,-2.05283,-1.25618,1.20853,-1.25199,2.14036,6.9853,-0.0095696,0.119676,0.191856,0.0899843,0.0849968,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842842542,23617696,31.0276903,121.4409744,-3.52558,-5.11114,-5.76896,0.000512231,0.000809682,0.0,-0.0349944,-0.0307629,-0.0104886,-0.00884088,-0.00535803,-0.00263178,0.038596,-5.18615,0.900415,0.772335,-1.25384,2.14036,6.98941,0.0104886,0.1135,0.190008,0.0857964,0.083348,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
842946581,23617696,31.0276903,121.4409744,-3.53933,-5.10133,-5.76232,0.000512231,0.000809682,0.0,-0.0393696,-0.033034,0.00298121,0.0111159,-0.00535803,-0.00263178,0.038596,2.09736,3.18056,-2.54655,-1.25457,2.14036,6.98277,-0.00298121,0.119988,0.19146,0.0898404,0.0850164,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
843046693,23617696,31.0276903,121.4409744,-3.55689,-5.09166,-5.74834,0.000512231,0.000809682,0.0,-0.0746357,-0.0260072,-0.0165062,0.00564229,-0.00535803,-0.00263178,0.038596,-0.370827,4.76486,4.5209,-1.25506,2.14036,6.9688,0.0165062,0.113344,0.189889,0.0857803,0.0833597,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
