timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
924904099,0.223182,-0.120832,0.147066,0.830368,0.00297288,0.0186503,-0.556895,0.870776,-0.0397471,-0.0356996,-0.488769,1
924936119,0.499751,-0.29639,0.157231,0.831647,0.00665142,0.0135806,-0.555099,0.870776,-0.0397471,-0.0356996,-0.488769,1
924968089,0.656114,-0.663558,0.199222,0.833085,0.0106542,0.00189882,-0.55304,0.870776,-0.0397471,-0.0356996,-0.488769,1
925000218,0.794231,-0.64886,0.168449,0.834317,0.0175713,-0.0144074,-0.550817,0.870776,-0.0397471,-0.0356996,-0.488769,1
925032133,0.7488,-0.598948,0.219805,0.835255,0.0250124,-0.0313046,-0.548401,0.870776,-0.0397471,-0.0356996,-0.488769,1
925064237,0.423623,-0.308882,0.238716,0.836723,0.029036,-0.0428162,-0.545177,0.870776,-0.0397471,-0.0356996,-0.488769,1
925092123,-0.0811644,-0.0929956,0.130183,0.838105,0.0281916,-0.0456242,-0.542866,0.870776,-0.0397471,-0.0356996,-0.488769,1
925124853,-0.534952,0.142489,0.0268867,0.838874,0.0230439,-0.0406541,-0.542316,0.870776,-0.0397471,-0.0356996,-0.488769,1
925156872,-0.766816,0.431015,-0.126352,0.838553,0.0164141,-0.0298006,-0.543757,0.870776,-0.0397471,-0.0356996,-0.488769,1
925188951,-1.03293,0.549887,-0.170125,0.837548,0.00965731,-0.0159811,-0.546045,0.870776,-0.0397471,-0.0356996,-0.488769,1
925220954,-0.841601,0.753084,-0.233862,0.836028,0.00393587,0.00050386,-0.548672,0.870776,-0.0397471,-0.0356996,-0.488769,1
925252840,-0.572372,0.916366,-0.104863,0.834413,0.00100459,0.0185156,-0.550828,0.870776,-0.0397471,-0.0356996,-0.488769,1
925285091,0.0732934,0.536729,0.145705,0.834313,0.0062959,0.0297149,-0.550454,0.870776,-0.0397471,-0.0356996,-0.488769,1
925312876,-0.327437,0.225586,0.223659,0.835754,0.0065347,0.0352515,-0.547933,0.870776,-0.0397471,-0.0356996,-0.488769,1
925344902,-0.23961,0.228614,0.244807,0.83765,0.00427463,0.0406941,-0.544672,0.870776,-0.0397471,-0.0356996,-0.488769,1
925376879,0.09798,0.379474,0.227071,0.839495,0.0070278,0.0455598,-0.541409,0.870776,-0.0397471,-0.0356996,-0.488769,1
925408957,0.00409385,0.132334,0.0606982,0.840541,0.0103276,0.0488406,-0.539443,0.870776,-0.0397471,-0.0356996,-0.488769,1
925441733,0.103376,-0.166774,-0.137192,0.840118,0.0103803,0.04791,-0.540184,0.870776,-0.0397471,-0.0356996,-0.488769,1
925473698,0.141932,-0.190982,-0.2088,0.8386,0.0105614,0.0442606,-0.542845,0.870776,-0.0397471,-0.0356996,-0.488769,1
